	Operation	Group	Group Offset	Ordinal Start	Ordinal End	Terminal End	Default Due	Tags	Op Index	Due Shift		Configs	Value
arith_sub_g07_00_o07_08	Subtraction	7	0	7	8	10	167	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g07_00_o08_09	Subtraction	7	0	8	9	10	168	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g07_00_o09_10	Subtraction	7	0	9	10	10	169	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g07_00_o10	Subtraction	7	0	10		10	170	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g08_00_o01_02	Subtraction	8	0	1	2	10	171	o01_to_04 o01_to_05	2				
arith_sub_g08_00_o02_03	Subtraction	8	0	2	3	10	172	o01_to_04 o01_to_05	2				
arith_sub_g08_00_o03_04	Subtraction	8	0	3	4	10	173	o01_to_04 o01_to_05	2				
arith_sub_g08_00_o04_05	Subtraction	8	0	4	5	10	174	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g08_00_o05_06	Subtraction	8	0	5	6	10	175	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g08_00_o06_07	Subtraction	8	0	6	7	10	176	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g08_00_o07_08	Subtraction	8	0	7	8	10	177	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g08_00_o08_09	Subtraction	8	0	8	9	10	178	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g08_00_o09_10	Subtraction	8	0	9	10	10	179	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g08_00_o10	Subtraction	8	0	10		10	180	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g09_00_o01_02	Subtraction	9	0	1	2	10	181	o01_to_04 o01_to_05	2				
arith_sub_g09_00_o02_03	Subtraction	9	0	2	3	10	182	o01_to_04 o01_to_05	2				
arith_sub_g09_00_o03_04	Subtraction	9	0	3	4	10	183	o01_to_04 o01_to_05	2				
arith_sub_g09_00_o04_05	Subtraction	9	0	4	5	10	184	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g09_00_o05_06	Subtraction	9	0	5	6	10	185	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g09_00_o06_07	Subtraction	9	0	6	7	10	186	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g09_00_o07_08	Subtraction	9	0	7	8	10	187	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g09_00_o08_09	Subtraction	9	0	8	9	10	188	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g09_00_o09_10	Subtraction	9	0	9	10	10	189	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g09_00_o10	Subtraction	9	0	10		10	190	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g10_00_o01_02	Subtraction	10	0	1	2	10	191	o01_to_04 o01_to_05	2				
arith_sub_g10_00_o02_03	Subtraction	10	0	2	3	10	192	o01_to_04 o01_to_05	2				
arith_sub_g10_00_o03_04	Subtraction	10	0	3	4	10	193	o01_to_04 o01_to_05	2				
arith_sub_g10_00_o04_05	Subtraction	10	0	4	5	10	194	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g10_00_o05_06	Subtraction	10	0	5	6	10	195	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g10_00_o06_07	Subtraction	10	0	6	7	10	196	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g10_00_o07_08	Subtraction	10	0	7	8	10	197	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g10_00_o08_09	Subtraction	10	0	8	9	10	198	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g10_00_o09_10	Subtraction	10	0	9	10	10	199	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g10_00_o10	Subtraction	10	0	10		10	200	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
										-			
